,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
246,[],48.8695072,2.3314532999999997,Place Vendôme,48.86779769319868,2.3297411847276526,Plaza
247,[],48.8748629,2.342939,Papacionu,48.87479244142873,2.3429168066774655,Corsican Restaurant
248,[],48.8748629,2.342939,Picto,48.87590813725393,2.3439459877145854,Sandwich Place
249,[],48.8748629,2.342939,BAM Karaoke Box,48.874106994964485,2.345232367515564,Karaoke Bar
250,[],48.8748629,2.342939,À la Mère de Famille,48.87397,2.342263,Candy Store
251,[],48.8748629,2.342939,Abri Soba,48.875041088876465,2.34439229409706,Soba Restaurant
252,[],48.8748629,2.342939,Hôtel Parister,48.8753502620414,2.344384366678277,Hotel
253,[],48.8748629,2.342939,Hôtel Panache,48.87318904185936,2.343232731696886,Hotel
254,[],48.8748629,2.342939,Les Fils à Maman,48.873508675313886,2.3437417298555374,French Restaurant
255,[],48.8748629,2.342939,Loco,48.873772267222535,2.3425792781995085,Argentinian Restaurant
256,[],48.8748629,2.342939,Hôtel Le 34B ***,48.87273052292771,2.343604912009892,Hotel
257,[],48.8767507,2.3539485,Ma Kitchen,48.87701802448486,2.35140737644392,Korean Restaurant
258,[],48.8767507,2.3539485,Kashmir House,48.876985427211835,2.3522046218805643,Indian Restaurant
259,[],48.8767507,2.3539485,Mussubi,48.877529612205564,2.351537208593247,Japanese Restaurant
260,[],48.8767507,2.3539485,Pleine Mer,48.876886568003954,2.3535234480694953,Seafood Restaurant
261,[],48.8767507,2.3539485,L'Ours Bar,48.874604417758015,2.3544449149534543,Cocktail Bar
262,[],48.8767507,2.3539485,Marché Saint-Quentin,48.876830665853085,2.355233825623974,Farmers Market
263,[],48.8767507,2.3539485,Nanashi,48.87529674590974,2.3515112409265875,Japanese Restaurant
264,[],48.8767507,2.3539485,La Maison Bleue,48.87811416438613,2.35133386328103,French Restaurant
265,[],48.8767507,2.3539485,Nous,48.87476659828924,2.353747260032455,Gluten-free Restaurant
266,[],48.8767507,2.3539485,Ahipoké,48.87658473284472,2.3513970728799904,Hawaiian Restaurant
267,[],48.875932,2.3590598999999997,Café A,48.87523561686296,2.360022095087153,Café
268,[],48.875932,2.3590598999999997,Marrow,48.87442541960633,2.358884811401367,Café
269,[],48.875932,2.3590598999999997,BMK Paris-Bamako,48.87464593409851,2.3565486073493958,African Restaurant
270,[],48.875932,2.3590598999999997,Marks & Spencer Food,48.87674195537729,2.358486072371823,Food & Drink Shop
